ICAO Code,IATA,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
EKRK,RKE,ROSKILDE,COPENHAGEN,DENMARK,55.586,12.131
EKRN,RNN,BORNHOLM RONNE,RONNE,DENMARK,55.063,14.759
EKSB,SGD,SONDERBORG,SOENDERBORG,DENMARK,54.964,9.792
EKSN,N/A,SINDAL,SINDAL,DENMARK,57.503,10.229
EKSP,SKS,SKRYDSTRUP,SKRYDSTRUP,DENMARK,55.225,9.264
EKSV,N/A,SKIVE,SKIVE,DENMARK,56.55,9.173
EKTS,TED,THISTED,THISTED,DENMARK,57.069,8.705
EKVA,N/A,VANDEL,VANDEL,DENMARK,55.697,9.193
EKVD,N/A,KOLDING VAMDRUP,KOLDING,DENMARK,55.436,9.331
EKVG,FAE,VAGAR,VAGAR,FAROE ISL.,62.064,-7.277
EKVH,N/A,AARS,VESTHIMMERLAND,DENMARK,56.847,9.459
EKVJ,STA,STAUNING,STAUNING,DENMARK,55.99,8.354
EKVL,N/A,VAERLOSE,VAERLOSE,DENMARK,55.767,12.343
EKYT,AAL,AALBORG,AALBORG,DENMARK,57.093,9.849
ELLX,LUX,FINDEL INTERNATIONAL AIRPORT,LUXEMBURG,LUXEMBURG,49.626,6.211
ENAL,AES,VIGRA,ALESUND,NORWAY,62.56,6.11
ENAN,ANX,ANDOYA,ANDOYA,NORWAY,69.293,16.144
ENAT,ALF,ALTA,ALTA,NORWAY,69.977,23.366
ENBL,N/A,BRINGELAND,FORDE,NORWAY,61.392,5.764
ENBM,N/A,BOEMOEN,BOMOEN,NORWAY,60.639,6.501
ENBN,BNN,BRONNOY,BRONNOYSUND,NORWAY,65.459,12.214
ENBO,BOO,BODO,BODOE,NORWAY,67.269,14.363
ENBR,BGO,BERGEN FLESLAND,BERGEN,NORWAY,60.293,5.218
ENBS,BJF,BATSFJORD,BATSFJORD,NORWAY,70.6,29.692
ENCN,KRS,KRISTIANSAND KJEVIK,KRISTIANSAND,NORWAY,58.204,8.085
ENDI,N/A,DAGALI,DAGLI,NORWAY,60.417,8.514
ENDU,BDU,BARDUFOSS,BARDUFOSS,NORWAY,69.056,18.54
ENEV,EVE,EVENES,EVENES,NORWAY,68.491,16.678
ENFB,FBU,OSLO FORNEBU,OSLO,NORWAY,59.896,10.617
ENFG,VDB,FAGERNES LEIRIN,FAGERNES,NORWAY,61.011,9.293
ENFL,FRO,FLORO,FLORO,NORWAY,61.584,5.025
ENGM,OSL,OSLO GARDERMOEN,OSLO,NORWAY,60.194,11.1
ENHA,HMR,STAFSBERG,HAMAR,NORWAY,60.818,11.067
ENHD,HAU,HAUGESUND KARMOY,HAUGESUND,NORWAY,59.345,5.208
ENHK,HAA,HASVIK,HASVIK,NORWAY,70.487,22.14
ENKB,KSU,KRISTIANSUND KVERNBERGET,KRISTIANSUND,NORWAY,63.112,7.824
ENKJ,N/A,KJELLER,KJELLER,NORWAY,59.969,11.036
ENKR,KKN,KIRKENES HOYBUKTMOEN,KIRKENES,NORWAY,69.725,29.887
ENLI,FAN,LISTA,LISTA,NORWAY,58.1,6.625
ENML,MOL,ARO,MOLDE,NORWAY,62.746,7.272
ENMS,MJF,KJAERSTAD,MOSJOEN,NORWAY,65.784,13.215
ENNA,LKL,BANAK,BANAK,NORWAY,70.069,24.973
ENNO,N/A,NOTODDEN,NOTODDEN,NORWAY,59.566,9.212
ENOL,OLA,ORLAND,ORLAND,NORWAY,63.699,9.604
ENRO,RRS,ROEROS,ROROS,NORWAY,62.578,11.342
ENRY,N/A,RYGGE,RYGGE,NORWAY,59.379,10.786
ENSB,LYR,SVALBARD LONGYEAR,SVALBARD,NORWAY,78.246,15.466
ENSG,SOG,SOGNDAL HAUKASEN,SOGNDAL,NORWAY,61.156,7.136
ENSN,SKE,SKIEN GEITERYGGEN,SKIEN,NORWAY,59.185,9.567
ENSO,SRP,SOERSTOKKEN,STORD,NORWAY,59.792,5.341
ENSR,SOJ,SORKJOSEN,SORKJOSEN,NORWAY,69.787,20.959
ENSS,N/A,SVARTNES,SVARTNES,NORWAY,70.355,31.045
ENST,SSJ,STOKKA,SANDNESSJOEN,NORWAY,65.957,12.469
ENTC,TOS,TROMSO,TROMSO,NORWAY,69.683,18.919
ENTO,TRF,TORP,TORP,NORWAY,59.187,10.259
ENVA,TRD,TRONDHEIM VAERNES,TRONDHEIM,NORWAY,63.458,10.94
ENZV,SVG,STAVANGER SOLA,STAVANGER,NORWAY,58.877,5.638
EPGD,GDN,REBIECHOWO,GDANSK,POLAND,54.377,18.466
EPKK,KRK,BALICE JP II INTERNATIONAL AIRPORT,KRAKOW,POLAND,50.078,19.785
EPKM,N/A,MUCHOWIEC,KATOWICE,POLAND,50.238,19.035
EPKO,N/A,ZEGRZE POMORSKIE,KOSZALIN,POLAND,54.042,16.264
EPKT,KTW,PYRZOWICE,KATOWICE,POLAND,50.474,19.08
EPLL,N/A,LUBLINEK,LODZ,POLAND,51.722,19.398
EPML,N/A,MIELEC,MIELEC,POLAND,50.322,21.462
EPPO,POZ,LAWICA,POZNAN,POLAND,52.421,16.826
EPRZ,RZE,JASIONKA,RZESZOW,POLAND,50.11,22.019
EPSC,SZZ,GOLENIOW,SZCZECHIN,POLAND,53.585,14.902
EPSD,N/A,DABIE,SZCZECHIN,POLAND,53.392,14.634
EPSK,OSP,REDZIKOWO,SLUPSK,POLAND,54.479,17.108
EPSN,N/A,SWIDWIN,SHAPAJA,PERU,53.791,15.828
EPWA,WAW,OKECIE,WARSAW,POLAND,52.166,20.967
EPWR,WRO,STRACHOWICE,WROCLAW,POLAND,51.102,16.886
EPZG,IEG,BABIMOST,ZIELONA GORA,POLAND,52.139,15.799
ESCF,N/A,MALMEN,LINKOEPING,SWEDEN,58.402,15.526
ESCK,N/A,BRAVALLA,NORRKOEPING,SWEDEN,58.611,16.103
ESCM,N/A,UPPSALA,UPPSALA,SWEDEN,59.897,17.588
ESCN,N/A,TULLINGE,STOCKHOLM,SWEDEN,59.181,17.912
ESDB,AGH,ANGELHOLM,ANGELHOLM,SWEDEN,56.296,12.847
ESDF,RNB,RONNEBY,RONNEBY,SWEDEN,56.267,15.265
ESFH,N/A,HASSLOSA,HASSLOSA,SWEDEN,58.409,13.262
ESFI,N/A,KNISLINGE,KNISLINGE,SWEDEN,56.184,14.132
ESFM,N/A,MOHOLM,MOHOLM,SWEDEN,58.598,14.114
ESFQ,N/A,KOSTA,KOSTA,SWEDEN,56.844,15.452
ESFR,N/A,RADA,RADA,SWEDEN,58.498,13.053
ESFY,N/A,BYHOLMA,BYHOLMA,SWEDEN,56.785,13.602
ESGG,GOT,LANDVETTER,GOTHENBORG,SWEDEN,57.663,12.28
ESGJ,JKG,JONKOPING,JOENKOEPING,SWEDEN,57.758,14.069
ESGK,N/A,FALKOPING,FALKOPING,SWEDEN,58.17,13.588
ESGL,LDK,LIDKOPING,LIDKOPING,SWEDEN,58.465,13.174
ESGP,GSE,SAVE,GOTHENBORG,SWEDEN,57.775,11.87
ESGR,KVB,SKOVDE,SKOVDE,SWEDEN,58.456,13.973
ESGT,THN,TROLLHATTAN VANERSBORG,TROLLHATTAN,SWEDEN,58.318,12.345
ESIA,N/A,KARLSBORG,KARLSBORG,SWEDEN,58.514,14.507
ESIB,N/A,SATENAS,SATENAS,SWEDEN,58.426,12.714
ESKA,N/A,GIMO,GIMO,SWEDEN,60.133,18.105
ESKB,N/A,BARKARBY,STOCKHOLM,SWEDEN,59.419,17.891
ESKK,KSK,KARLSKOGA,KARLSKOGA,SWEDEN,59.346,14.496
ESKM,MXX,MORA,MORA,SWEDEN,60.958,14.511
ESKN,NYO,SKAVSTA,STOCKHOLM,SWEDEN,58.789,16.912
ESKS,N/A,STRANGNAS,STRANGNAS,SWEDEN,59.314,17.109
ESKV,N/A,ARVIKA,ARVIKA,SWEDEN,59.676,12.639
ESKX,N/A,BJORKVIK,BJORKVIK,SWEDEN,58.791,16.571
ESMA,N/A,EMMABODA,EMMABODA,SWEDEN,56.611,15.605
